id,title,text,price,slug,category_id,image
1,Дисхидия Пектеноидес,"Дисхидия Пектеноидес — очаровательное и необычное стелющееся растение, которое обязательно добавит характера любому комнатному саду. Обычно известная как «муравьиное растение», Дисхидия Пектеноидес получила свое название из-за своих уникальных взаимоотношений с муравьями, которые часто используют полые усики растения в качестве места для гнездования.  Это растение имеет маленькие круглые листья, которые растут парами вдоль его тонких плетистых стеблей. Листья ярко-зеленые и имеют глянцевую восковую текстуру, что добавляет им привлекательности. По мере роста Дисхидия Пектеноидес образует гроздья маленьких белых цветков, источающих сладкий медовый аромат.  Дисхидия Пектеноидес, за которыми легко ухаживать и которые можно адаптировать к различным условиям выращивания, хорошо растет при ярком непрямом свете и умеренной влажности. Он хорошо подходит для подвесных корзин, где можно в полной мере оценить его уникальную форму. Это растение, несомненно, станет поводом для разговоров и станет фаворитом среди коллекционеров растений и энтузиастов.",2799,dishidia-pectenoides,2,flowers_images/dishidia.png
2,Портулакария,"Бонсай Портулакария, также известный как слоновий куст, представляет собой красивый суккулентный кустарник, который популярен для выращивания бонсай. Это растение родом из Южной Африки и имеет маленькие круглые листья ярко-зеленого цвета. Кора растения красновато-коричневого цвета и с возрастом становится более текстурированной. При выращивании в качестве Бонсай Портулакарий обычно имеет форму небольшого дерева с толстым стволом и кроной из маленьких, плотно упакованных листьев. За этим бонсай легко ухаживать, что делает его отличным выбором для начинающих. Он также известен своей способностью накапливать воду в листьях, что делает его засухоустойчивым и способным выживать в засушливых условиях.",2499,portulakariya,3,flowers_images/bonsai_portulakaria.jpg
3,Литопс Лапидария Маргарита,"Литопс Лапидария Маргарита — редкий суккулент, уроженец Северной Африки, в основном Намибии. Лапидария образует короткие розетки мясистых листьев специфической формы. В природе лапидария встречается среди каменных крошек солнечных склонов. Этим объясняется характерный для этого растения вид-уподобившись камням, этот вид сумел защититься от голодных животных. Серый цвет твердых листьев подчеркивается фиолетовыми акцентами. Тем не менее, наиболее впечатляющим является цветение. Из центра розеток растут крупные золотистые цветы с несколькими лепестками-одна цветочная корзина может иметь до 100 лепестков и диаметром 5 см. Растение очень редко встречается в всеобщей продаже-в нашем магазине растения на продажу появляются раз в несколько лет.",399,litops,1,flowers_images/litops_lapidaria.jpg
4,Гузмания,"Гузмания — это красивое и неприхотливое растение, которое прекрасно подойдет для оформления интерьера вашего дома или офиса. Его привлекательные листья и необычные цветки привлекают внимание и создают уютную атмосферу. Гузмания — отличный выбор для тех, кто ищет неприхотливую и красивую растительность для своего дома или офиса.",999,guzmania,4,flowers_images/guzmania.jpg
5,Аглаонема Даймонд Бэй,"Аглаонема Даймонд Бэй — потрясающий сорт популярного растения аглаонема, известного своей привлекательной листвой и простотой в уходе. Это растение имеет большие, глянцевые, зеленые листья с белой пестротой, которая проявляется в виде ярких пятен и полос, что придает ему уникальный, привлекательный вид. Пестрота более заметна на молодых листьях, но по мере взросления листьев зеленый цвет становится более доминирующим. Аглаонема Даймонд Бэй с ее качествами очистки воздуха и минимальными затратами на техническое обслуживание является идеальным выбором для озеленения любого помещения.",2899,aglonema-daimond-bey,5,flowers_images/aglaonema_silver_bay.png
6,Фикус Бенджамин Наташа,"Фикус Бенджамин Наташа — это элегантное комнатное растение с привлекательной листвой, которая может украсить любой интерьер. Он привлекает внимание своими большими, глянцевыми, темно-зелеными листьями, которые образуют красивые ветви. Наташа является одним из самых популярных видов Фикуса Бенджамина, который благодаря своей простоте в уходе и эффектному внешнему виду, является неизменным хитом в мире комнатных растений.",1099,ficus-bendjamina-natasha,6,flowers_images/ficus_bendgamina_nataha.png
7,Эхинокактус Грузонии,"Эхинокактус Грузонии — это медленно растущий кактус, который прекрасно себя чувствует при ярком прямом солнечном свете и требует минимального полива. Это идеальный выбор для тех, кто любит растения, не требующие особого ухода, или для тех, кто новичок в домашнем садоводстве. Отличный способ добавить нотку пустынного шика в ваш дом или офис. Его характерный внешний вид делает его отличным предметом разговора, а простота ухода делает его отличным выбором для занятых людей, которые все еще хотят наслаждаться красотой комнатных растений.",499,ehinokaktus-gruzoni,7,flowers_images/ehinokaktus_gruzoni.png
8,Фаленопсис Пандора,"Фаленопсис Пандора — потрясающий гибрид орхидеи с крупными эффектными цветами глубокого бархатисто-фиолетового цвета с контрастирующим белым центром. Лепестки взъерошенные и слегка скрученные, что придает им элегантный и неповторимый вид. Эта орхидея является компактным растением, что делает ее идеальным выбором для подоконника или небольшого пространства. Он обильно цветет и имеет прекрасный аромат, который наполняет воздух сладким цветочным ароматом. Фаленопсис Пандора — популярный выбор как для домашнего садоводства, так и для любителей орхидей, добавляющий нотку экзотической красоты в любой дом или офис.",2599,felenopsis-pandora,8,flowers_images/falenopsis_pandora.png
9,Пальма Хризалидокарпус,"Пальма Хризалидокарпус является одним из самых популярных видов декоративных пальм в мире благодаря своей универсальности и простоте ухода. Она может вырастать до двух метров в высоту, но в комнатных условиях обычно остается меньше. Хризалидокарпус также является очень выносливым растением и может выживать в широком диапазоне условий, от полного солнца до тени. Пальма идеально подходит для тех, кто любит создавать уютный и теплый интерьер в своем доме или офисе. Хризалидокарпус легко адаптируется к любым условиям и добавляет в ваш декор нотку природной красоты.",9990,palma-hrizalidocapus,9,flowers_images/palma_hrizalidocapus.png
10,Нефролепис Грин Моментс,"Нефролепис Грин Моментс — это культивар популярного вида папоротника Nephrolepis exaltata. Он известен своей пышной зеленой листвой, для которой характерны дугообразные листья, образующие форму фонтана. Листы имеют глубокие лопасти и нежную текстуру, что придает растению мягкий и воздушный вид. Сорт Грин Моментс назван в честь того, как его листья переливаются и ловят свет, придавая растению живой и динамичный вид. Этот папоротник является популярным выбором для внутреннего и наружного декора, так как за ним легко ухаживать, и он придает свежесть и естественность любому пространству.",899,nefropelis-green-moments,10,flowers_images/nefrolepis_green_momemt.png
